City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
212,Alcala La Real,ES,2021-04-24 17:11:06,37.4614,-3.923,66.99,55,90,9.22
213,Ulaangom,MN,2021-04-24 17:11:06,49.9811,92.0667,36.84,35,90,10.58
214,Vieux-Habitants,GP,2021-04-24 17:11:07,16.0589,-61.7659,86.0,54,40,17.27
215,Mari,BR,2021-04-24 17:11:07,-7.06,-35.3194,86.0,66,40,10.36
216,Padang,ID,2021-04-24 17:11:07,-0.9492,100.3543,78.1,87,99,3.11
217,Rawicz,PL,2021-04-24 17:11:08,51.6095,16.8585,51.01,50,96,11.99
218,Hohhot,CN,2021-04-24 17:11:08,40.8106,111.6522,57.2,51,0,4.47
219,Christchurch,NZ,2021-04-24 17:11:09,-43.5333,172.6333,46.99,100,90,3.44
220,Namibe,AO,2021-04-24 17:11:09,-15.1961,12.1522,80.04,74,64,10.65
221,Rovaniemi,FI,2021-04-24 17:10:27,66.5,25.7167,32.0,86,90,11.5
222,Aksarka,RU,2021-04-24 17:11:09,66.5606,67.7975,32.5,93,84,6.71
223,Manhush,UA,2021-04-24 17:11:10,47.0558,37.3107,54.0,100,74,5.99
224,Cidreira,BR,2021-04-24 17:11:10,-30.1811,-50.2056,75.85,62,25,11.54
225,Goderich,CA,2021-04-24 17:11:10,43.7501,-81.7165,55.4,41,81,10.36
226,Okha,RU,2021-04-24 17:11:11,53.5739,142.9478,24.12,87,46,9.95
227,Sinnamary,GF,2021-04-24 17:11:11,5.3833,-52.95,79.23,87,100,11.54
228,Camacha,PT,2021-04-24 17:11:11,33.0833,-16.3333,66.2,63,20,16.11
229,Cairns,AU,2021-04-24 17:11:12,-16.9167,145.7667,75.2,94,90,10.36
230,Ukiah,US,2021-04-24 17:11:12,39.1502,-123.2078,55.0,66,90,5.75
231,Morant Bay,JM,2021-04-24 17:11:12,17.8815,-76.4093,86.0,66,40,14.97
232,Tautira,PF,2021-04-24 17:11:13,-17.7333,-149.15,77.0,78,75,2.3
233,Road Town,VG,2021-04-24 17:11:13,18.4167,-64.6167,82.4,69,40,10.36
234,Saint George,US,2021-04-24 17:11:01,37.1041,-113.5841,75.99,17,1,11.5
235,Richards Bay,ZA,2021-04-24 17:11:14,-28.783,32.0377,69.37,85,85,12.88
236,Port Hardy,CA,2021-04-24 17:11:14,50.6996,-127.4199,46.4,93,90,2.3
